geo_code,row_count,dataset_count,total_dataset_count,missing_dataset_count,first_observation_year,last_observation_year,observation_year_count,year_span,pillar_count,missing_pillar_count,missing_pillars,missing_adaptation_capacity_flag,missing_climate_signal_flag,missing_observed_stress_flag,missing_responsibility_context_flag,partial_dataset_coverage_flag,data_desert_flag,monitoring_network_missing_flag,coverage_flag,coverage_caveat,datasets,missing_datasets,pillars
PN,408,4,9,5,1850,2026,177,177,2,2,observed_stress responsibility_context,False,False,True,True,True,True,False,data_desert,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-surface-temperature-anomalies meteorological-monitoring-network rainfall-anomalies,greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters power-generation sea-level-anomalies,adaptation_capacity climate_signal
WF,480,6,9,3,1850,2026,177,177,3,1,responsibility_context,False,False,False,True,True,False,True,partial_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters rainfall-anomalies sea-level-anomalies,greenhouse-gas-emissions-per-capita meteorological-monitoring-network power-generation,adaptation_capacity climate_signal observed_stress
MP,536,7,9,2,1850,2026,177,177,4,0,,False,False,False,False,True,False,True,partial_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters rainfall-anomalies sea-level-anomalies,meteorological-monitoring-network power-generation,adaptation_capacity climate_signal observed_stress responsibility_context
AS,563,7,9,2,1850,2026,177,177,4,0,,False,False,False,False,True,False,True,partial_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters rainfall-anomalies sea-level-anomalies,meteorological-monitoring-network power-generation,adaptation_capacity climate_signal observed_stress responsibility_context
TK,518,8,9,1,1850,2026,177,177,3,1,responsibility_context,False,False,False,True,True,False,False,partial_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,greenhouse-gas-emissions-per-capita,adaptation_capacity climate_signal observed_stress
GU,581,8,9,1,1850,2026,177,177,4,0,,False,False,False,False,True,False,True,partial_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,meteorological-monitoring-network,adaptation_capacity climate_signal observed_stress responsibility_context
CK,603,8,9,1,1850,2026,177,177,3,1,responsibility_context,False,False,False,True,True,False,False,partial_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,greenhouse-gas-emissions-per-capita,adaptation_capacity climate_signal observed_stress
NU,657,8,9,1,1850,2026,177,177,3,1,responsibility_context,False,False,False,True,True,False,False,partial_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,greenhouse-gas-emissions-per-capita,adaptation_capacity climate_signal observed_stress
PW,647,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
PF,656,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
KI,660,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
MH,665,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
FM,667,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
NC,673,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
PG,673,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
SB,678,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
FJ,706,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
VU,709,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
TV,721,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
TO,730,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
WS,734,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
NR,742,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
