geo_code,target_year,scenario,reference_year,current_score,projected_score,score_change,movement_direction,movement_magnitude_label,outlook_movement_rank,trend_series_count,backtested_count,linear_beats_naive_count,beats_naive_share,mean_abs_slope_per_decade,mean_residual_std,diagnostic_quality_label,projection_fragility_label,fragility_rank,display_recommendation,caveat
AS,2030,capacity_flat,,84.9656,49.5753,-35.3903,narrowing,large,8,4,4,2,0.5,0.161442685,1.704097755,mixed,caveated,19,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
CK,2030,capacity_flat,,28.9709,22.7352,-6.2357,narrowing,moderate,71,4,4,3,0.75,0.09055906250000001,1.49144403,supported,lower,80,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FJ,2030,capacity_flat,,10.4878,19.7365,9.2487,widening,moderate,62,4,4,3,0.75,0.023703575,1.8586461425,supported,lower,75,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FM,2030,capacity_flat,,58.355,40.5824,-17.7726,narrowing,large,31,4,4,1,0.25,0.19264019,2.7398076225,mixed,caveated,31,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
GU,2030,capacity_flat,,19.8699,23.2725,3.4026,little_change,limited,84,4,4,1,0.25,0.08378931249999999,1.6036454725000002,mixed,caveated,58,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
KI,2030,capacity_flat,,31.0979,61.4167,30.3188,widening,large,14,4,4,1,0.25,0.29269172499999996,3.11851124,mixed,caveated,22,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MH,2030,capacity_flat,,65.9545,11.4167,-54.5378,narrowing,large,3,4,4,2,0.5,0.1333626775,1.7300930975000002,mixed,caveated,15,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MP,2030,capacity_flat,,51.1209,38.4735,-12.6474,narrowing,moderate,46,4,4,1,0.25,0.021234585,1.7885730549999999,mixed,caveated,43,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NC,2030,capacity_flat,,12.7219,16.3277,3.6058,little_change,limited,82,4,4,2,0.5,0.18208732,2.49975427,mixed,caveated,56,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NR,2030,capacity_flat,,88.9403,100.0,11.0597,widening,moderate,50,4,4,3,0.75,0.2760398075,4.3341835775,supported,lower,66,show,stress-test interpretation; not a forecast; diagnostics support cautious display
NU,2030,capacity_flat,,63.2479,79.1426,15.8947,widening,large,34,4,4,2,0.5,0.2851117275,1.8154965125,mixed,caveated,34,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PF,2030,capacity_flat,,0.0,0.0,0.0,little_change,limited,87,4,4,2,0.5,0.2094138925,1.2850142875000001,mixed,caveated,60,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PG,2030,capacity_flat,,23.5272,3.0506,-20.4766,narrowing,large,26,4,4,0,0.0,0.1887682375,1.6164340325,weak,fragile,11,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PN,2030,capacity_flat,,100.0,68.4943,-31.5057,narrowing,large,12,2,2,0,0.0,0.6871575449999999,3.0288751449999998,weak,fragile,4,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PW,2030,capacity_flat,,62.6435,41.0908,-21.5527,narrowing,large,24,4,4,0,0.0,0.28289728249999996,2.1510071175000003,weak,fragile,9,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
SB,2030,capacity_flat,,58.0643,50.1907,-7.8736,narrowing,moderate,67,4,4,1,0.25,0.32742450500000003,1.7954870175,mixed,caveated,50,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
TK,2030,capacity_flat,,55.7364,70.0774,14.341,widening,moderate,37,4,4,3,0.75,0.4795940325,2.6657573075,supported,lower,62,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TO,2030,capacity_flat,,26.249,30.3906,4.1416,little_change,limited,78,4,4,3,0.75,0.2469607075,2.1185195275,supported,lower,85,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TV,2030,capacity_flat,,77.7085,72.1227,-5.5858,narrowing,moderate,72,4,4,3,0.75,0.38980634500000005,3.077725935,supported,lower,81,show,stress-test interpretation; not a forecast; diagnostics support cautious display
VU,2030,capacity_flat,,38.3856,28.6226,-9.763,narrowing,moderate,59,4,4,3,0.75,0.09657411999999999,2.2087176125,supported,lower,72,show,stress-test interpretation; not a forecast; diagnostics support cautious display
WF,2030,capacity_flat,,82.5555,71.285,-11.2705,narrowing,moderate,48,4,4,1,0.25,0.00811287,1.9618987625,mixed,caveated,45,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
WS,2030,capacity_flat,,36.974,18.7168,-18.2572,narrowing,large,30,4,4,2,0.5,0.1384493575,1.8663537024999999,mixed,caveated,30,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
AS,2030,capacity_gradual_improvement,,84.9656,48.2079,-36.7577,narrowing,large,7,4,4,2,0.5,0.161442685,1.704097755,mixed,caveated,18,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
CK,2030,capacity_gradual_improvement,,28.9709,22.0668,-6.9041,narrowing,moderate,69,4,4,3,0.75,0.09055906250000001,1.49144403,supported,lower,79,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FJ,2030,capacity_gradual_improvement,,10.4878,21.1381,10.6503,widening,moderate,55,4,4,3,0.75,0.023703575,1.8586461425,supported,lower,70,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FM,2030,capacity_gradual_improvement,,58.355,41.3793,-16.9757,narrowing,large,32,4,4,1,0.25,0.19264019,2.7398076225,mixed,caveated,32,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
GU,2030,capacity_gradual_improvement,,19.8699,23.368,3.4981,little_change,limited,83,4,4,1,0.25,0.08378931249999999,1.6036454725000002,mixed,caveated,57,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
KI,2030,capacity_gradual_improvement,,31.0979,62.2555,31.1576,widening,large,13,4,4,1,0.25,0.29269172499999996,3.11851124,mixed,caveated,21,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MH,2030,capacity_gradual_improvement,,65.9545,10.9207,-55.0338,narrowing,large,2,4,4,2,0.5,0.1333626775,1.7300930975000002,mixed,caveated,14,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MP,2030,capacity_gradual_improvement,,51.1209,38.0117,-13.1092,narrowing,moderate,42,4,4,1,0.25,0.021234585,1.7885730549999999,mixed,caveated,39,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NC,2030,capacity_gradual_improvement,,12.7219,17.0025,4.2806,little_change,limited,77,4,4,2,0.5,0.18208732,2.49975427,mixed,caveated,54,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NR,2030,capacity_gradual_improvement,,88.9403,100.0,11.0597,widening,moderate,51,4,4,3,0.75,0.2760398075,4.3341835775,supported,lower,67,show,stress-test interpretation; not a forecast; diagnostics support cautious display
NU,2030,capacity_gradual_improvement,,63.2479,78.3175,15.0696,widening,large,35,4,4,2,0.5,0.2851117275,1.8154965125,mixed,caveated,35,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PF,2030,capacity_gradual_improvement,,0.0,0.0,0.0,little_change,limited,88,4,4,2,0.5,0.2094138925,1.2850142875000001,mixed,caveated,61,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PG,2030,capacity_gradual_improvement,,23.5272,4.504,-19.0232,narrowing,large,27,4,4,0,0.0,0.1887682375,1.6164340325,weak,fragile,12,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PN,2030,capacity_gradual_improvement,,100.0,67.0837,-32.9163,narrowing,large,9,2,2,0,0.0,0.6871575449999999,3.0288751449999998,weak,fragile,2,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PW,2030,capacity_gradual_improvement,,62.6435,41.1721,-21.4714,narrowing,large,25,4,4,0,0.0,0.28289728249999996,2.1510071175000003,weak,fragile,10,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
SB,2030,capacity_gradual_improvement,,58.0643,51.4054,-6.6589,narrowing,moderate,70,4,4,1,0.25,0.32742450500000003,1.7954870175,mixed,caveated,52,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
TK,2030,capacity_gradual_improvement,,55.7364,68.9229,13.1865,widening,moderate,41,4,4,3,0.75,0.4795940325,2.6657573075,supported,lower,64,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TO,2030,capacity_gradual_improvement,,26.249,31.0718,4.8228,little_change,limited,75,4,4,3,0.75,0.2469607075,2.1185195275,supported,lower,83,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TV,2030,capacity_gradual_improvement,,77.7085,72.2792,-5.4293,narrowing,moderate,73,4,4,3,0.75,0.38980634500000005,3.077725935,supported,lower,82,show,stress-test interpretation; not a forecast; diagnostics support cautious display
VU,2030,capacity_gradual_improvement,,38.3856,29.4192,-8.9664,narrowing,moderate,64,4,4,3,0.75,0.09657411999999999,2.2087176125,supported,lower,77,show,stress-test interpretation; not a forecast; diagnostics support cautious display
WF,2030,capacity_gradual_improvement,,82.5555,69.6544,-12.9011,narrowing,moderate,44,4,4,1,0.25,0.00811287,1.9618987625,mixed,caveated,41,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
WS,2030,capacity_gradual_improvement,,36.974,18.5874,-18.3866,narrowing,large,28,4,4,2,0.5,0.1384493575,1.8663537024999999,mixed,caveated,28,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
AS,2050,capacity_flat,,84.9656,52.9927,-31.9729,narrowing,large,10,4,4,2,0.5,0.161442685,1.704097755,mixed,caveated,20,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
CK,2050,capacity_flat,,28.9709,30.0569,1.086,little_change,limited,85,4,4,3,0.75,0.09055906250000001,1.49144403,supported,lower,88,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FJ,2050,capacity_flat,,10.4878,20.6898,10.202,widening,moderate,58,4,4,3,0.75,0.023703575,1.8586461425,supported,lower,71,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FM,2050,capacity_flat,,58.355,34.329,-24.026,narrowing,large,20,4,4,1,0.25,0.19264019,2.7398076225,mixed,caveated,26,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
GU,2050,capacity_flat,,19.8699,23.9362,4.0663,little_change,limited,79,4,4,1,0.25,0.08378931249999999,1.6036454725000002,mixed,caveated,55,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
KI,2050,capacity_flat,,31.0979,60.1815,29.0836,widening,large,17,4,4,1,0.25,0.29269172499999996,3.11851124,mixed,caveated,24,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MH,2050,capacity_flat,,65.9545,15.8203,-50.1342,narrowing,large,4,4,4,2,0.5,0.1333626775,1.7300930975000002,mixed,caveated,16,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MP,2050,capacity_flat,,51.1209,42.2646,-8.8563,narrowing,moderate,65,4,4,1,0.25,0.021234585,1.7885730549999999,mixed,caveated,49,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NC,2050,capacity_flat,,12.7219,7.4734,-5.2485,narrowing,moderate,74,4,4,2,0.5,0.18208732,2.49975427,mixed,caveated,53,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NR,2050,capacity_flat,,88.9403,100.0,11.0597,widening,moderate,52,4,4,3,0.75,0.2760398075,4.3341835775,supported,lower,68,show,stress-test interpretation; not a forecast; diagnostics support cautious display
NU,2050,capacity_flat,,63.2479,77.4728,14.2249,widening,moderate,38,4,4,2,0.5,0.2851117275,1.8154965125,mixed,caveated,37,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PF,2050,capacity_flat,,0.0,13.3067,13.3067,widening,moderate,40,4,4,2,0.5,0.2094138925,1.2850142875000001,mixed,caveated,38,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PG,2050,capacity_flat,,23.5272,0.0,-23.5272,narrowing,large,21,4,4,0,0.0,0.1887682375,1.6164340325,weak,fragile,7,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PN,2050,capacity_flat,,100.0,68.1508,-31.8492,narrowing,large,11,2,2,0,0.0,0.6871575449999999,3.0288751449999998,weak,fragile,3,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PW,2050,capacity_flat,,62.6435,35.9917,-26.6518,narrowing,large,18,4,4,0,0.0,0.28289728249999996,2.1510071175000003,weak,fragile,6,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
SB,2050,capacity_flat,,58.0643,45.8322,-12.2321,narrowing,moderate,47,4,4,1,0.25,0.32742450500000003,1.7954870175,mixed,caveated,44,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
TK,2050,capacity_flat,,55.7364,74.0574,18.321,widening,large,29,4,4,3,0.75,0.4795940325,2.6657573075,supported,caveated,29,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TO,2050,capacity_flat,,26.249,30.9305,4.6815,little_change,limited,76,4,4,3,0.75,0.2469607075,2.1185195275,supported,lower,84,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TV,2050,capacity_flat,,77.7085,69.4584,-8.2501,narrowing,moderate,66,4,4,3,0.75,0.38980634500000005,3.077725935,supported,lower,78,show,stress-test interpretation; not a forecast; diagnostics support cautious display
VU,2050,capacity_flat,,38.3856,29.2059,-9.1797,narrowing,moderate,63,4,4,3,0.75,0.09657411999999999,2.2087176125,supported,lower,76,show,stress-test interpretation; not a forecast; diagnostics support cautious display
WF,2050,capacity_flat,,82.5555,67.5759,-14.9796,narrowing,moderate,36,4,4,1,0.25,0.00811287,1.9618987625,mixed,caveated,36,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
WS,2050,capacity_flat,,36.974,23.9052,-13.0688,narrowing,moderate,43,4,4,2,0.5,0.1384493575,1.8663537024999999,mixed,caveated,40,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
AS,2050,capacity_gradual_improvement,,84.9656,46.7793,-38.1863,narrowing,large,5,4,4,2,0.5,0.161442685,1.704097755,mixed,caveated,17,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
CK,2050,capacity_gradual_improvement,,28.9709,25.2744,-3.6965,little_change,limited,81,4,4,3,0.75,0.09055906250000001,1.49144403,supported,lower,87,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FJ,2050,capacity_gradual_improvement,,10.4878,21.6778,11.19,widening,moderate,49,4,4,3,0.75,0.023703575,1.8586461425,supported,lower,65,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FM,2050,capacity_gradual_improvement,,58.355,33.5787,-24.7763,narrowing,large,19,4,4,1,0.25,0.19264019,2.7398076225,mixed,caveated,25,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
GU,2050,capacity_gradual_improvement,,19.8699,20.9111,1.0412,little_change,limited,86,4,4,1,0.25,0.08378931249999999,1.6036454725000002,mixed,caveated,59,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
KI,2050,capacity_gradual_improvement,,31.0979,61.0046,29.9067,widening,large,15,4,4,1,0.25,0.29269172499999996,3.11851124,mixed,caveated,23,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MH,2050,capacity_gradual_improvement,,65.9545,10.7817,-55.1728,narrowing,large,1,4,4,2,0.5,0.1333626775,1.7300930975000002,mixed,caveated,13,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MP,2050,capacity_gradual_improvement,,51.1209,38.4687,-12.6522,narrowing,moderate,45,4,4,1,0.25,0.021234585,1.7885730549999999,mixed,caveated,42,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NC,2050,capacity_gradual_improvement,,12.7219,4.9938,-7.7281,narrowing,moderate,68,4,4,2,0.5,0.18208732,2.49975427,mixed,caveated,51,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NR,2050,capacity_gradual_improvement,,88.9403,100.0,11.0597,widening,moderate,53,4,4,3,0.75,0.2760398075,4.3341835775,supported,lower,69,show,stress-test interpretation; not a forecast; diagnostics support cautious display
NU,2050,capacity_gradual_improvement,,63.2479,73.7618,10.5139,widening,moderate,56,4,4,2,0.5,0.2851117275,1.8154965125,mixed,caveated,47,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PF,2050,capacity_gradual_improvement,,0.0,10.2544,10.2544,widening,moderate,57,4,4,2,0.5,0.2094138925,1.2850142875000001,mixed,caveated,48,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PG,2050,capacity_gradual_improvement,,23.5272,0.0,-23.5272,narrowing,large,22,4,4,0,0.0,0.1887682375,1.6164340325,weak,fragile,8,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PN,2050,capacity_gradual_improvement,,100.0,62.2495,-37.7505,narrowing,large,6,2,2,0,0.0,0.6871575449999999,3.0288751449999998,weak,fragile,1,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PW,2050,capacity_gradual_improvement,,62.6435,33.1149,-29.5286,narrowing,large,16,4,4,0,0.0,0.28289728249999996,2.1510071175000003,weak,fragile,5,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
SB,2050,capacity_gradual_improvement,,58.0643,47.0274,-11.0369,narrowing,moderate,54,4,4,1,0.25,0.32742450500000003,1.7954870175,mixed,caveated,46,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
TK,2050,capacity_gradual_improvement,,55.7364,69.4843,13.7479,widening,moderate,39,4,4,3,0.75,0.4795940325,2.6657573075,supported,lower,63,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TO,2050,capacity_gradual_improvement,,26.249,30.0642,3.8152,little_change,limited,80,4,4,3,0.75,0.2469607075,2.1185195275,supported,lower,86,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TV,2050,capacity_gradual_improvement,,77.7085,68.4453,-9.2632,narrowing,moderate,61,4,4,3,0.75,0.38980634500000005,3.077725935,supported,lower,74,show,stress-test interpretation; not a forecast; diagnostics support cautious display
VU,2050,capacity_gradual_improvement,,38.3856,28.6316,-9.754,narrowing,moderate,60,4,4,3,0.75,0.09657411999999999,2.2087176125,supported,lower,73,show,stress-test interpretation; not a forecast; diagnostics support cautious display
WF,2050,capacity_gradual_improvement,,82.5555,60.7534,-21.8021,narrowing,large,23,4,4,1,0.25,0.00811287,1.9618987625,mixed,caveated,27,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
WS,2050,capacity_gradual_improvement,,36.974,20.4329,-16.5411,narrowing,large,33,4,4,2,0.5,0.1384493575,1.8663537024999999,mixed,caveated,33,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
