geo_code,neighbor_geo_code,similarity_rank,jsd_distance,jsd_log_base,similarity_band,anchor_primary_component,neighbor_primary_component,reason_label,anchor_missingness_status,neighbor_missingness_status,anchor_monitoring_reporting_status,neighbor_monitoring_reporting_status,neighbor_caveat
AS,MP,1,0.0103861112,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,NU,2,0.0116418039,2,very_similar_profile,monitoring_reporting_gap,data_visibility,Selected profile leans toward monitoring_reporting_gap; neighbor leans toward data_visibility.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,reported_zero_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,WF,3,0.0180096637,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,TK,1,0.0215733985,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,partial_or_thin_profile,partial_or_thin_profile,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,KI,2,0.0946773701,2,similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,partial_or_thin_profile,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,MH,3,0.0961771705,2,similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,partial_or_thin_profile,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
FJ,NC,1,0.0021310418,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
FJ,VU,2,0.0044866634,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
FJ,TO,3,0.0060146461,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
FM,VU,1,0.0003147306,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
FM,TO,2,0.0014874822,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
FM,NC,3,0.0027570335,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
GU,MP,1,0.0055032155,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
GU,NU,2,0.0179268094,2,very_similar_profile,monitoring_reporting_gap,data_visibility,Selected profile leans toward monitoring_reporting_gap; neighbor leans toward data_visibility.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,reported_zero_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
GU,AS,3,0.0242361215,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
KI,MH,1,0.0032916333,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
KI,SB,2,0.0065378306,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
KI,TO,3,0.0110226229,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
MH,KI,1,0.0032916333,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
MH,SB,2,0.0092866979,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
MH,PG,3,0.0203630934,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
MP,GU,1,0.0055032155,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
MP,AS,2,0.0103861112,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
MP,NU,3,0.0143512187,2,very_similar_profile,monitoring_reporting_gap,data_visibility,Selected profile leans toward monitoring_reporting_gap; neighbor leans toward data_visibility.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,reported_zero_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NC,TO,1,0.0011077586,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NC,VU,2,0.0013396554,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NC,FJ,3,0.0021310418,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NR,MP,1,0.0797402573,2,similar_profile,data_visibility,monitoring_reporting_gap,Selected profile leans toward data_visibility; neighbor leans toward monitoring_reporting_gap.,profile_components_present,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NR,GU,2,0.0808998196,2,similar_profile,data_visibility,monitoring_reporting_gap,Selected profile leans toward data_visibility; neighbor leans toward monitoring_reporting_gap.,profile_components_present,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NR,NU,3,0.0894959537,2,similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,partial_or_thin_profile,reported_zero_latest_count,reported_zero_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NU,AS,1,0.0116418039,2,very_similar_profile,data_visibility,monitoring_reporting_gap,Selected profile leans toward data_visibility; neighbor leans toward monitoring_reporting_gap.,partial_or_thin_profile,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NU,MP,2,0.0143512187,2,very_similar_profile,data_visibility,monitoring_reporting_gap,Selected profile leans toward data_visibility; neighbor leans toward monitoring_reporting_gap.,partial_or_thin_profile,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
NU,GU,3,0.0179268094,2,very_similar_profile,data_visibility,monitoring_reporting_gap,Selected profile leans toward data_visibility; neighbor leans toward monitoring_reporting_gap.,partial_or_thin_profile,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PF,WS,1,0.0047871488,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PF,FJ,2,0.0089267713,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PF,NC,3,0.0137958947,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PG,SB,1,0.003136369,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PG,TO,2,0.0047244351,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PG,VU,3,0.006608672,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PN,AS,1,0.0522628461,2,similar_profile,missing_data,monitoring_reporting_gap,Selected profile leans toward missing_data; neighbor leans toward monitoring_reporting_gap.,data_desert_or_missing_pillars,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PN,MP,2,0.0753911652,2,similar_profile,missing_data,monitoring_reporting_gap,Selected profile leans toward missing_data; neighbor leans toward monitoring_reporting_gap.,data_desert_or_missing_pillars,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PN,WF,3,0.0774182271,2,similar_profile,missing_data,monitoring_reporting_gap,Selected profile leans toward missing_data; neighbor leans toward monitoring_reporting_gap.,data_desert_or_missing_pillars,partial_or_thin_profile,reported_zero_latest_count,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PW,TV,1,0.001592758,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PW,FM,2,0.0028538923,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
PW,TO,3,0.0035108535,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
SB,PG,1,0.003136369,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
SB,TO,2,0.0064119123,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
SB,KI,3,0.0065378306,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TK,CK,1,0.0215733985,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,partial_or_thin_profile,partial_or_thin_profile,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TK,MH,2,0.1230103305,2,similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,partial_or_thin_profile,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TK,NU,3,0.1241427199,2,similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,partial_or_thin_profile,partial_or_thin_profile,reported_positive_latest_count,reported_zero_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TO,VU,1,0.0010016761,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TO,NC,2,0.0011077586,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TO,FM,3,0.0014874822,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TV,PW,1,0.001592758,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TV,FM,2,0.006332299,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
TV,TO,3,0.0063647955,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
VU,FM,1,0.0003147306,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
VU,TO,2,0.0010016761,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
VU,NC,3,0.0013396554,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
WF,AS,1,0.0180096637,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
WF,NU,2,0.0191938425,2,very_similar_profile,monitoring_reporting_gap,data_visibility,Selected profile leans toward monitoring_reporting_gap; neighbor leans toward data_visibility.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,reported_zero_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
WF,MP,3,0.0339408025,2,very_similar_profile,monitoring_reporting_gap,monitoring_reporting_gap,Both profiles lean most toward monitoring_reporting_gap evidence.,partial_or_thin_profile,partial_or_thin_profile,missing_monitoring_dataset_row,missing_monitoring_dataset_row,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
WS,PF,1,0.0047871488,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
WS,FJ,2,0.0117790948,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
WS,VU,3,0.0121598754,2,very_similar_profile,data_visibility,data_visibility,Both profiles lean most toward data_visibility evidence.,profile_components_present,profile_components_present,reported_positive_latest_count,reported_positive_latest_count,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
